id,height,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,PER,FTr,PTSper100,FGAper100,FT%,2P%,3P%,3FGA%,Avg Dist,0-3ft FGA%,3-10ft FGA%,10-16ft FGA%,16-3P,% of Ast 2s,% of Ast 3s,% Corner 3s,cluster,player type
WILLIE GREEN2007-2008,-0.125,-0.836206897,-0.634920635,-0.539267016,-0.491525424,-0.868613139,-0.635726795,0.063157895,-0.063829787,-0.773333333,-0.017391304,0.292682927,0.514,0.059085842,-0.43,-0.588505747,-0.020408163,-0.394,-0.671682627,-0.541353383,-0.363984674,0.164,0.804,-0.835740738,6,Ball Dominant Scorer
WILLIE GREEN2008-2009,-0.125,-0.836206897,-0.777777778,-0.497382199,-0.491525424,-0.912408759,-0.705779335,-0.2,-0.154255319,-0.828,-0.226086957,0.036585366,0.458,0.054626533,-0.366,-0.510638298,0.118367347,-0.492,-0.808481532,-0.541353383,-0.208173691,0.328,0.922,-0.777361075,8,High Usage Guard
WILLIE GREEN2009-2010,-0.125,-0.870689655,-0.671957672,-0.448516579,-0.627118644,-0.912408759,-0.646234676,-0.173684211,-0.063829787,-0.72,-0.160869565,-0.018292683,0.666,0.101449275,-0.308,-0.49907919,0.273469388,-0.654,-0.792065663,-0.541353383,-0.03192848,-0.074,0.83,-0.775594856,8,High Usage Guard
WILLIE GREEN2010-2011,-0.125,-0.862068966,-0.576719577,-0.734729494,-0.593220339,-0.912408759,-0.674255692,-0.115789474,-0.170212766,-0.781333333,-0.152173913,0.067073171,0.56,0.061315496,-0.304,-0.490968801,0.232653061,-0.786,-0.515731874,-0.439849624,-0.203065134,0.138,0.888,-0.645076298,8,High Usage Guard
WILLIE GREEN2011-2012,-0.125,-0.836206897,-0.682539683,-0.741710297,-0.559322034,-0.927007299,-0.698774081,-0.168421053,-0.005319149,-0.770666667,-0.082608696,0.012195122,0.714,0.08361204,-0.116,-0.304615385,0.289795918,-0.692,-0.671682627,-0.676691729,-0.254150702,0.398,0.96,-0.464230536,8,High Usage Guard
WILLIE GREEN2012-2013,-0.125,-0.853448276,-0.698412698,-0.752181501,-0.559322034,-0.883211679,-0.747810858,-0.321052632,-0.117021277,-0.889333333,-0.230434783,-0.091463415,0.438,0.08361204,-0.144,-0.139896373,0.363265306,-0.668,-0.737346101,-0.804511278,-0.346104725,0.682,1,-0.17839713,0,3PT specialist
WILLIE GREEN2013-2014,-0.125,-0.862068966,-0.682539683,-0.710296684,-0.559322034,-0.854014599,-0.628721541,-0.336842105,-0.367021277,-0.833333333,-0.413043478,-0.182926829,0.648,-0.092530658,-0.322,-0.10701107,0.395918367,-0.75,-0.688098495,-0.804511278,-0.330779055,0.41,0.854,-0.305756945,0,3PT specialist
WILLIE GREEN2014-2015,-0.125,-0.862068966,-0.698412698,-0.619546248,-0.525423729,-0.941605839,-0.544658494,-0.268421053,-0.324468085,-0.852,-0.37826087,-0.12804878,0.648,-0.08361204,-0.306,-0.209150327,0.240816327,-0.608,-0.660738714,-0.815789474,-0.399744572,-0.184,0.666,-0.487177006,8,High Usage Guard
BEN HANDLOGTEN2003-2004,0.34375,0.344827586,0.164021164,-0.773123909,-0.661016949,-0.708029197,-0.492119089,-0.215789474,0.164893617,-0.234666667,-0.143478261,-0.213414634,0.334,0.186176143,-1,-1,-0.893877551,0.66,-0.76744186,-0.838345865,-0.890166028,0.2,-1,-1,5,Traditional Center
BEN HANDLOGTEN2004-2005,0.34375,-0.198275862,-0.164021164,-0.731239092,-0.559322034,-0.795620438,-0.418563923,-0.310526316,-0.196808511,-0.726666667,-0.339130435,-0.207317073,0.058,0.168338907,-1,-0.975903614,-0.567346939,0.254,-0.704514364,-0.593984962,-0.62962963,0.488,-1,-1,5,Traditional Center
TRAVIS HANSEN2003-2004,0.03125,-0.413793103,-0.650793651,-0.790575916,-0.661016949,-0.810218978,-0.663747811,-0.452631579,-0.361702128,-0.722666667,-0.539130435,-0.304878049,0.63,-0.175027871,-0.4,-0.538461538,0.036734694,-0.446,-0.748290014,-0.507518797,-0.312899106,0.028,0.556,-0.704740029,3,Role player
UDONIS HASLEM2003-2004,0.1875,0.043103448,-0.126984127,-0.828970332,-0.661016949,-0.839416058,-0.569176883,-0.363157895,-0.015957447,-0.454666667,-0.369565217,-0.304878049,0.53,0.030100334,-1,-0.986577181,-0.420408163,-0.136,-0.540355677,-0.334586466,-0.445721584,0.288,-1,-0.992208545,5,Traditional Center
