school,city,region,conference,division
Dominican California,"San Rafael, California",West Coast,Pacific West Conference,NCAA D2
Drury,"Springfield, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
East Central,"Ada, Oklahoma",Mid South,Great American Conference,NCAA D2
East Stroudsburg Pennsylvania,"East Stroudsburg, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Eastern New Mexico,"Portales, New Mexico",South West,Lone Star Conference,NCAA D2
Eckerd College,"St. Petersburg, Florida",South East,Sunshine State Conference,NCAA D2
Edinboro,"Edinboro, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Edward Waters,"Jacksonville, Florida",South East,Mid-South Conference,NCAA D2
Elizabeth City State,"Elizabeth City, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Embry-Riddle Aeronautical,"Daytona Beach, Florida",South East,"NCAA DII, Sunshine State Conference",NCAA D2
Emmanuel College – Georgia,"Franklin Springs, Georgia",South East,Conference Carolinas,NCAA D2
Emory & Henry College,"Emory, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D2
Emporia State,"Emporia, Kansas",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Erskine College,"Due West, South Carolina",South East,Conference Carolinas,NCAA D2
Fairmont State,"Fairmont, West Virginia",Mid East,Mountain East Conference,NCAA D2
Fayetteville State University,"Fayetteville, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Felician,"Lodi, New Jersey",North East,Division II Independents,NCAA D2
Ferris State,"Big Rapids, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Flagler College – St. Augustine,"Saint Augustine, Florida",South East,Peach Belt Conference,NCAA D2
Florida Institute of Technology,"Melbourne, Florida",South East,Gulf South Conference,NCAA D2
Florida Southern College,"Lakeland, Florida",South East,Sunshine State Conference,NCAA D2
Fort Hays State,"Hays, Kansas",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Fort Lewis College,"Durango, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Fort Valley State,"Fort Valley, Georgia",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Francis Marion,"Florence, South Carolina",South East,Peach Belt Conference,NCAA D2
Franklin Pierce,"Rindge, New Hampshire",New England,Other,NCAA D2
Fresno Pacific,"Fresno, California",West Coast,Pacific West Conference,NCAA D2
Frostburg State,"Frostburg, Maryland",North East,New Jersey Athletic Conference,NCAA D2
Gannon,"Erie, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Georgia College & State,"Milledgeville, Georgia",South East,Peach Belt Conference,NCAA D2
Georgia Southwestern State,"Americus, Georgia",South East,Peach Belt Conference,NCAA D2
Georgian Court,"Lakewood, New Jersey",North East,Central Atlantic Collegiate Conference,NCAA D2
Glenville State College,"Glenville, West Virginia",Mid East,Mountain East Conference,NCAA D2
Goldey-Beacom College,"Wilmington, Delaware",North East,Central Atlantic Collegiate Conference,NCAA D2
Grand Valley State,"Allendale, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Harding,"Searcy, Arkansas",Mid South,Great American Conference,NCAA D2
Hawaii Pacific,"Honolulu, Hawaii",West Coast,Pacific West Conference,NCAA D2
Henderson State,"Arkadelphia, Arkansas",Mid South,Great American Conference,NCAA D2
Hillsdale College,"Hillsdale, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
