school,city,region,conference,division
Abilene Christian,"Abilene, Texas",Mid South,Western Athletic Conference,NCAA D1
Alabama A&M University,"North Normal, Alabama",South East,Southwestern Athletic Conference,NCAA D1
Alabama State,"Montgomery, Alabama",South East,Southwestern Athletic Conference,NCAA D1
Alcorn State,"Lorman, Mississippi",Mid South,Southwestern Athletic Conference,NCAA D1
American University,"Washington, District Of Columbia",North East,Patriot League,NCAA D1
Appalachian State,"Boone, North Carolina",Mid East,Sun Belt Conference,NCAA D1
Arizona State,"Tempe, Arizona",South West,PAC-12 Conference,NCAA D1
Arkansas State,"Jonesboro, Arkansas",Mid South,Sun Belt Conference,NCAA D1
Auburn,"Auburn, Alabama",South East,Southeastern Conference,NCAA D1
Austin Peay State University,"Clarksville, Tennessee",Mid East,Ohio Valley Conference,NCAA D1
Ball State University,"Muncie, Indiana",Great Lakes,Mid-American Conference,NCAA D1
Baylor,"Waco, Texas",Mid South,Big 12 Conference,NCAA D1
Bellarmine,"Louisville, Kentucky",Mid East,ASUN Conference,NCAA D1
Belmont,"Nashville, Tennessee",Mid East,Ohio Valley Conference,NCAA D1
Bethune-Cookman,"Daytona Beach, Florida",South East,Southwestern Athletic Conference,NCAA D1
Boise State,"Boise, Idaho",North West,Mountain West Conference,NCAA D1
Boston College,"Chestnut Hill, Massachusetts",New England,Atlantic Coast Conference,NCAA D1
Boston University,"Boston, Massachusetts",New England,Patriot League,NCAA D1
Bowling Green,"Bowling Green, Ohio",Great Lakes,Mid-American Conference,NCAA D1
Bradley,"Peoria, Illinois",Great Lakes,Missouri Valley Conference,NCAA D1
BYU,"Provo, Utah",South West,West Coast Conference,NCAA D1
Brown,"Providence, Rhode Island",New England,Ivy League,NCAA D1
Bryant,"Smithfield, Rhode Island",New England,Northeast Conference,NCAA D1
Bucknell,"Lewisburg, Pennsylvania",North East,Patriot League,NCAA D1
Butler,"Indianapolis, Indiana",Great Lakes,Big East Conference,NCAA D1
California Baptist,"Riverside, California",West Coast,Western Athletic Conference,NCAA D1
CAL POLY,"San Luis Obispo, California",West Coast,Big West Conference,NCAA D1
California State – Bakersfield,"Bakersfield, California",West Coast,Big West Conference,NCAA D1
FRESNO STATE,"Fresno, California",West Coast,Mountain West Conference,NCAA D1
CAL STATE FULLERTON,"Fullerton, California",West Coast,Big West Conference,NCAA D1
CAL STATE LONG BEACH,"Long Beach, California",West Coast,Big West Conference,NCAA D1
California State – Northridge,"Northridge, California",West Coast,Big West Conference,NCAA D1
California State – Sacramento,"Sacramento, California",West Coast,Big Sky Conference,NCAA D1
Campbell,"Buies Creek, North Carolina",Mid East,Big South Conference,NCAA D1
Canisius College,"Buffalo, New York",North East,Metro Atlantic Athletic Conference,NCAA D1
Central Connecticut State University,"New Britain, Connecticut",New England,Northeast Conference,NCAA D1
Central Michigan University,"Mount Pleasant, Michigan",Great Lakes,Mid-American Conference,NCAA D1
Charleston Southern,"Charleston, South Carolina",South East,Big South Conference,NCAA D1
Chicago State,"Chicago, Illinois",Great Lakes,Western Athletic Conference,NCAA D1
Clemson,"Clemson, South Carolina",South East,Atlantic Coast Conference,NCAA D1
Cleveland State University,"Cleveland, Ohio",Great Lakes,Horizon League,NCAA D1
Coastal Carolina,"Conway, South Carolina",South East,Sun Belt Conference,NCAA D1
Colgate,"Hamilton, New York",North East,Patriot League,NCAA D1
College of Charleston,"Charleston, South Carolina",South East,Colonial Athletic Association,NCAA D1
HOLY CROSS,"Worcester, Massachusetts",New England,Patriot League,NCAA D1
Colorado State,"Fort Collins, Colorado",South West,Mountain West Conference,NCAA D1
Columbia,"New York, New York",North East,Ivy League,NCAA D1
Coppin State,"Baltimore, Maryland",North East,Mid-Eastern Athletic Conf.,NCAA D1
Cornell,"Ithaca, New York",North East,Ivy League,NCAA D1
Creighton,"Omaha, Nebraska",Mid West,Big East Conference,NCAA D1
Dartmouth College,"Hanover, New Hampshire",New England,Ivy League,NCAA D1
Davidson,"Davidson, North Carolina",Mid East,Atlantic 10 Conference,NCAA D1
Delaware State University,"Dover, Delaware",North East,Mid-Eastern Athletic Conference,NCAA D1
DePaul,"Chicago, Illinois",Great Lakes,Big East Conference,NCAA D1
Dixie State,"Saint George, Utah",South West,Western Athletic Conference,NCAA D1
Drake,"Des Moines, Iowa",Mid West,Missouri Valley Conference,NCAA D1
Drexel,"Philadelphia, Pennsylvania",North East,Colonial Athletic Association,NCAA D1
Duke,"Durham, North Carolina",Mid East,Atlantic Coast Conference,NCAA D1
Duquesne,"Pittsburgh, Pennsylvania",North East,Atlantic 10 Conference,NCAA D1
East Carolina,"Greenville, North Carolina",Mid East,American Athletic Conference,NCAA D1
East Tennessee State,"Johnson City, Tennessee",Mid East,Southern Conference,NCAA D1
Eastern Illinois,"Charleston, Illinois",Great Lakes,Ohio Valley Conference,NCAA D1
Eastern Kentucky,"Richmond, Kentucky",Mid East,ASUN Conference,NCAA D1
Eastern Michigan,"Ypsilanti, Michigan",Great Lakes,Mid-American Conference,NCAA D1
Eastern Washington,"Cheney, Washington",West Coast,Big Sky Conference,NCAA D1
Elon,"Elon, North Carolina",Mid East,Colonial Athletic Association,NCAA D1
Fairfield,"Fairfield, Connecticut",New England,Metro Atlantic Athletic Conference,NCAA D1
Fairleigh Dickinson,"Teaneck, New Jersey",North East,Northeast Conference,NCAA D1
FLORIDA A&AMP;M,"Tallahassee, Florida",South East,Southwestern Athletic Conf.,NCAA D1
Florida Atlantic,"Boca Raton, Florida",South East,Conference USA,NCAA D1
Florida Gulf Coast,"Fort Myers, Florida",South East,ASUN Conference,NCAA D1
Florida International University,"Miami, Florida",South East,Conference USA,NCAA D1
Florida State,"Tallahassee, Florida",South East,Atlantic Coast Conference,NCAA D1
Fordham,"Bronx, New York",North East,Atlantic 10 Conference,NCAA D1
Furman,"Greenville, South Carolina",South East,Southern Conference,NCAA D1
Gardner-Webb,"Boiling Springs, North Carolina",Mid East,Big South Conference,NCAA D1
George Mason,"Fairfax, Virginia",Mid East,Atlantic 10 Conference,NCAA D1
George Washington,"Washington, District Of Columbia",North East,Atlantic 10 Conference,NCAA D1
Georgetown,"Washington, District Of Columbia",North East,Big East Conference,NCAA D1
GEORGIA SOUTHERN UNIVERSITY,"Statesboro, Georgia",South East,Sun Belt Conference,NCAA D1
Georgia State University,"Atlanta, Georgia",South East,Sun Belt Conference,NCAA D1
Georgia Tech,"Atlanta, Georgia",South East,Atlantic Coast Conference,NCAA D1
Gonzaga,"Spokane, Washington",West Coast,West Coast Conference,NCAA D1
Grambling State,"Grambling, Louisiana",Mid South,Southwestern Athletic Conference,NCAA D1
Grand Canyon,"Phoenix, Arizona",South West,Western Athletic Conference,NCAA D1
Hampton,"Hampton, Virginia",Mid East,Big South Conference,NCAA D1
Harvard University,"Cambridge, Massachusetts",New England,Ivy League,NCAA D1
High Point,"High Point, North Carolina",Mid East,Big South Conference,NCAA D1
Hofstra,"Hempstead, New York",North East,Colonial Athletic Association,NCAA D1
Houston Baptist,"Houston, Texas",Mid South,Southland Conference,NCAA D1
Howard,"Washington, District Of Columbia",North East,Mid-Eastern Athletic Conference,NCAA D1
Idaho State,"Pocatello, Idaho",North West,Big Sky Conference,NCAA D1
Illinois State,"Normal, Illinois",Great Lakes,Missouri Valley Conference,NCAA D1
Indiana State,"Terre Haute, Indiana",Great Lakes,Missouri Valley Football Conference,NCAA D1
Indiana,"Bloomington, Indiana",Great Lakes,Big Ten Conference,NCAA D1
IUPUI,"Indianapolis, Indiana",Great Lakes,Horizon League,NCAA D1
Iona College,"New Rochelle, New York",North East,Metro Atlantic Athletic Conference,NCAA D1
Iowa State,"Ames, Iowa",Mid West,Big 12 Conference,NCAA D1
Jackson State University,"Jackson, Mississippi",Mid South,Southwestern Athletic Conference,NCAA D1
Jacksonville State University,"Jacksonville, Alabama",South East,ASUN Conference,NCAA D1
Jacksonville University,"Jacksonville, Florida",South East,ASUN Conference,NCAA D1
James Madison,"Harrisonburg, Virginia",Mid East,Colonial Athletic Association,NCAA D1
Kansas State,"Manhattan, Kansas",Mid West,Big 12 Conference,NCAA D1
Kennesaw State,"Kennesaw, Georgia",South East,ASUN Conference,NCAA D1
Kent State University,"Kent, Ohio",Great Lakes,Mid-American Conference,NCAA D1
La Salle,"Philadelphia, Pennsylvania",North East,Atlantic 10 Conference,NCAA D1
Lafayette College,"Easton, Pennsylvania",North East,Patriot League,NCAA D1
Lamar,"Beaumont, Texas",Mid South,Western Athletic Conference,NCAA D1
Lehigh,"Bethlehem, Pennsylvania",North East,Patriot League,NCAA D1
Liberty,"Lynchburg, Virginia",Mid East,ASUN Conference,NCAA D1
Lipscomb,"Nashville, Tennessee",Mid East,ASUN Conference,NCAA D1
Long Island,"Brooklyn, New York",North East,Northeast Conference,NCAA D1
Longwood University,"Farmville, Virginia",Mid East,Big South Conference,NCAA D1
LSU,"Baton Rouge, Louisiana",Mid South,Southeastern Conference,NCAA D1
Louisiana Tech,"Ruston, Louisiana",Mid South,Conference USA,NCAA D1
Loyola Marymount,"Los Angeles, California",West Coast,West Coast Conference,NCAA D1
Loyola Chicago,"Chicago, Illinois",Great Lakes,Missouri Valley Conference,NCAA D1
LOYOLA (MD),"Baltimore, Maryland",North East,Patriot League,NCAA D1
Manhattan College,"Riverdale, New York",North East,Metro Atlantic Athletic Conference,NCAA D1
Marist College,"Poughkeepsie, New York",North East,Metro Atlantic Athletic Conference,NCAA D1
Marquette,"Milwaukee, Wisconsin",Great Lakes,Big East Conference,NCAA D1
Marshall,"Huntington, West Virginia",Mid East,Conference USA,NCAA D1
McNeese State University,"Lake Charles, Louisiana",Mid South,Southland Conference,NCAA D1
Mercer University,"Macon, Georgia",South East,Southern Conference,NCAA D1
Merrimack College,"North Andover, Massachusetts",New England,Northeast-10 Conference,NCAA D1
MIAMI UNIVERSITY,"Oxford, Ohio",Great Lakes,Mid-American Conference,NCAA D1
Michigan State,"East Lansing, Michigan",Great Lakes,Big Ten Conference,NCAA D1
Middle Tennessee State,"Murfreesboro, Tennessee",Mid East,Conference USA,NCAA D1
Mississippi State,"Mississippi State, Mississippi",Mid South,Southeastern Conference,NCAA D1
Mississippi Valley State,"Itta Bena, Mississippi",Mid South,Southwestern Athletic Conference,NCAA D1
Missouri State,"Springfield, Missouri",Mid West,Missouri Valley Conference,NCAA D1
Monmouth,"West Long Branch, New Jersey",North East,Metro Atlantic Athletic Conference,NCAA D1
Montana State,"Bozeman, Montana",North West,Big Sky Conference,NCAA D1
Morehead State University,"Morehead, Kentucky",Mid East,Ohio Valley Conference,NCAA D1
Morgan State,"Baltimore, Maryland",North East,Mid-Eastern Athletic Conference,NCAA D1
Mount St. Mary's,"Emmitsburg, Maryland",North East,Northeast Conference,NCAA D1
Murray State,"Murray, Kentucky",Mid East,Ohio Valley Conference,NCAA D1
New Jersey Institute of Technology,"Newark, New Jersey",North East,America East Conference,NCAA D1
New Mexico State,"Las Cruces, New Mexico",South West,Western Athletic Conference,NCAA D1
Niagara,"Niagara University, New York",North East,Metro Atlantic Athletic Conference,NCAA D1
